               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12345,            0.025946,                   0,          0.00083333,            0.090909,          0.00045457,          0.00012193,             0.11781,            0.022593,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12249,            0.025342,                   0,          0.00083333,            0.090909,          0.00045666,          0.00012276,             0.11213,             0.02433,                   0,              0.0955,          0.00049951,          0.00049951
                   2,             0.11701,            0.026337,                   0,          0.00041667,            0.045455,          0.00022087,          6.6261e-05,              0.1103,            0.024111,                   0,            0.092798,          0.00079842,          0.00079842
                   3,             0.11364,            0.028553,                   0,            0.001875,             0.20455,           0.0011439,          0.00020484,             0.12058,            0.018889,                   0,            0.090097,           0.0010967,           0.0010967
                   4,             0.11174,            0.029623,                   0,            0.004375,             0.47727,           0.0033349,          0.00061309,             0.11132,            0.022145,                   0,            0.087394,           0.0013945,           0.0013945
                   5,             0.10806,            0.028902,                   0,            0.003125,             0.34091,           0.0026233,          0.00053958,             0.10467,            0.026007,                   0,            0.084692,           0.0016916,           0.0016916
                   6,             0.10478,            0.032246,                   0,           0.0033333,             0.36364,           0.0032795,          0.00054592,            0.099834,            0.027551,                   0,            0.081988,           0.0019881,           0.0019881
                   7,             0.10368,             0.02954,                   0,             0.00375,             0.40909,           0.0028785,           0.0004819,            0.098694,            0.027644,                   0,            0.079284,           0.0022841,           0.0022841
                   8,              0.1006,            0.032066,                   0,               0.005,             0.54545,           0.0082781,           0.0016642,            0.097647,            0.026796,                   0,            0.076579,           0.0025794,           0.0025794
                   9,            0.099133,            0.032216,                   0,           0.0070833,             0.77273,           0.0069428,           0.0018268,            0.095358,            0.026916,                   0,            0.073874,           0.0028742,           0.0028742
                  10,            0.098402,             0.03242,                   0,           0.0079167,             0.86364,            0.015493,           0.0046483,            0.094373,            0.027125,                   0,            0.071168,           0.0031683,           0.0031683
                  11,            0.097468,            0.031613,                   0,            0.046228,            0.022727,            0.046978,            0.012789,            0.094191,            0.026242,                   0,            0.068462,           0.0034619,           0.0034619
                  12,            0.092986,            0.032909,                   0,            0.075897,            0.045455,            0.048222,            0.017274,            0.096755,            0.025368,                   0,            0.065755,           0.0037549,           0.0037549
                  13,            0.086321,            0.033691,                   0,            0.086116,            0.022727,            0.090609,            0.017881,             0.08359,            0.028714,                   0,            0.063047,           0.0040472,           0.0040472
                  14,            0.086304,            0.033662,                   0,             0.37332,            0.068182,             0.12658,            0.029193,            0.083078,            0.025504,                   0,            0.060339,            0.004339,            0.004339
                  15,             0.08615,            0.031121,                   0,             0.33107,             0.54545,             0.36467,            0.074632,            0.082873,            0.024417,                   0,             0.05763,           0.0046302,           0.0046302
                  16,            0.089497,            0.026652,                   0,            0.074375,             0.11364,             0.05678,            0.011212,            0.094407,            0.022087,                   0,            0.054921,           0.0049208,           0.0049208
                  17,            0.089332,            0.024097,                   0,             0.10111,             0.11364,            0.057293,            0.011554,            0.094153,            0.022248,                   0,            0.052211,           0.0052108,           0.0052108
                  18,            0.088848,            0.025017,                   0,             0.31656,             0.29545,             0.26895,            0.040747,             0.09257,            0.022074,                   0,              0.0495,           0.0055002,           0.0055002
                  19,            0.092127,            0.026907,                   0,             0.14987,                 0.5,             0.15936,              0.0415,            0.080483,            0.025852,                   0,            0.046789,            0.005789,            0.005789
                  20,            0.081547,            0.028954,                   0,             0.13805,             0.43182,             0.15879,            0.032101,            0.085644,            0.024111,                   0,            0.044077,           0.0060772,           0.0060772
                  21,            0.082268,            0.029425,                   0,             0.12887,             0.45455,              0.1917,            0.062141,            0.085805,            0.023821,                   0,            0.041365,           0.0063649,           0.0063649
                  22,            0.083655,            0.027533,                   0,              0.3895,             0.45455,             0.46035,             0.16215,            0.084755,            0.023441,                   0,            0.038652,           0.0066519,           0.0066519
                  23,            0.077165,            0.027137,                   0,             0.21607,             0.15909,            0.093394,            0.014149,             0.08831,            0.024021,                   0,            0.035938,           0.0069383,           0.0069383
                  24,            0.084185,            0.027027,                   0,             0.69193,             0.52273,             0.62885,             0.23053,             0.07555,            0.024285,                   0,            0.033224,           0.0072242,           0.0072242
